checkpoint,description,experiment_id,image_size,instances,mask_size,mean_background_accuracy,mean_dice,mean_f1,mean_foreground_accuracy,mean_gpu_memory_mb,mean_inference_time_ms,mean_iou,mean_iou_background,mean_mpa,mean_pixel_accuracy,mean_precision,mean_recall,miou_by_category,model,output_dir,prompt_type,status,std_background_accuracy,std_dice,std_f1,std_foreground_accuracy,std_gpu_memory_mb,std_inference_time_ms,std_iou,std_iou_background,std_mpa,std_pixel_accuracy,std_precision,std_recall
,SAM ViT-B base sin fine-tuning con prompt de caja,E1,1024,99,256,0.994958749642945,0.14329315036569712,0.668303719164664,0.11578721801654249,2218.138790246212,135.3106861111111,0.09531011475302037,0.9841169345557144,0.5553729838297435,0.9842178046246239,0.19061161126835732,0.11578721801654249,0.07414814733917917,facebook/sam-vit-base,outputs/experiments/E1_base_box,box,,0.004578845739536403,0.21719304622104466,0.38189586834180733,0.17578300771098618,84.79422063070892,90.98521858149267,0.15615207199458808,0.013219317876196611,0.0876844787823631,0.013070182856579312,0.28875315312191824,0.17578300771098618
outputs/checkpoints/sam-electric/best,SAM ViT-B fine-tuned con prompt de caja,E2,1024,99,256,0.9975611493166338,0.7751602501938673,0.7751602676406867,0.8009793755694812,2218.138790246212,134.0552333939272,0.6515830364764379,0.9953526979251897,0.8992702624430575,0.9954565046751078,0.7683940270368667,0.8009793755694812,0.6343656241858073,facebook/sam-vit-base,outputs/experiments/E2_finetuned_box,box,,0.0022686641291803774,0.14334073684859275,0.14334071745050803,0.11624016972719305,84.79422063070892,80.09930855110423,0.1617718549602847,0.00434109972956134,0.05777561858499409,0.004151257949255981,0.172308409892709,0.11624016972719305
outputs/checkpoints/sam-electric/best,SAM ViT-B fine-tuned con prompt de punto positivo,E3,1024,99,256,0.998245957191039,0.33211901168509866,0.34221447804954,0.3054528028945467,2218.139278527462,133.77626742424977,0.22035628231688653,0.9874482511678004,0.6518493800427929,0.9875080569447666,0.620735406452143,0.3054528028945467,0.2138420720565172,facebook/sam-vit-base,outputs/experiments/E3_finetuned_point,point,,0.002207860259203164,0.21308860434385266,0.22065496540716525,0.2305540131602933,84.79422063070892,80.1053748571754,0.1677944977584987,0.012721657514610296,0.11472900143550924,0.012641219073451138,0.3189713732343104,0.2305540131602933
outputs/checkpoints/sam-electric/best,Robustez del mejor modelo con imágenes degradadas,E4_blur_s3,1024,99,256,0.9975584840270787,0.7752966682942706,0.7752966856274103,0.8009873103929321,2218.138790246212,135.74304983839366,0.6518108822634266,0.9953918879636454,0.8992728972100055,0.9954950084300357,0.7676359762101544,0.8009873103929321,0.6331664401226541,facebook/sam-vit-base,outputs/experiments/E4_robustness/blur_s3,box,,0.0022775255425681804,0.143370671286776,0.14337065233956892,0.11600435164305441,84.79422063070892,91.16369072225623,0.16210603716153593,0.00427141137502001,0.05762546439110764,0.0040821115093948954,0.17067871792137004,0.11600435164305441
outputs/checkpoints/sam-electric/best,Robustez del mejor modelo con imágenes degradadas,E4_gaussian_noise_s3,1024,99,256,0.9974859319203494,0.7701753650318582,0.7701753862876737,0.7943510703983345,2218.138790246212,131.6803395453609,0.6470017420573251,0.9952690989095127,0.895918501159342,0.995374802652442,0.7645664039146131,0.7943510703983345,0.6336923390704977,facebook/sam-vit-base,outputs/experiments/E4_robustness/gaussian_noise_s3,box,,0.00242388366141384,0.15400847314111502,0.1540084378161918,0.13278541668373578,84.79422063070892,55.70107100064252,0.16807772590787293,0.004429584130085488,0.06601790684518148,0.004236397048144377,0.17903071920898764,0.13278541668373578
outputs/checkpoints/sam-electric/best,Robustez del mejor modelo con imágenes degradadas,E4_jpeg_compression_s3,1024,99,256,0.9974982738149977,0.7730608006242563,0.7730608186097069,0.8004546388832326,2218.138790246212,133.28717589908106,0.6493567876943497,0.9953076641931984,0.8989764563491149,0.9954119730820007,0.7652185503552535,0.8004546388832326,0.6312476862038922,facebook/sam-vit-base,outputs/experiments/E4_robustness/jpeg_compression_s3,box,,0.002329116017711499,0.14624137235095977,0.14624135129170687,0.12116197214701444,84.79422063070892,72.640866319171,0.16375673828516205,0.004366653937734198,0.06022251706132306,0.004178411569503126,0.17388083699987913,0.12116197214701444
,"Baseline externo, por ejemplo Custom Vision, YOLO o detector actual",E5,,,,,,,,,,,,,,,,,baseline_coco_predictions,outputs/experiments/E5_baseline,,skipped_missing_predictions,,,,,,,,,,,,
